Year,Constituency Name,Constituency Type,Candidates,Party,Vote Count,Vote Percentage
2020,Bukit Panjang,SMC,Paul Ananth Tambyah,SDP,15576,0.4627
2020,Chua Chu Kang,GRC,Abdul Rahman Bin Mohamad | Choo Shaun Ming | Tan Meng Wah | Yuen Kin Pheng,PSP,42012,0.4136
2020,Chua Chu Kang,GRC,Gan Kim Yong | Low Yen Ling | Don Wee | Zhulkarnain Abdul Rahim,PAP,59554,0.5864
2020,East Coast,GRC,Abdul Shariff Aboo Kassim | Foo Seck Guan | Dylan Ng | Nicole Seah | Terence Tan Li-Chern,WP,53375,0.4661
2020,East Coast,GRC,Cheryl Chan Wei Ling | Heng Swee Keat | Mohd Maliki Bin Osman | Tan Kiat How | Tan Soon Neo Jessica,PAP,61144,0.5339
2020,Holland-Bukit Timah,GRC,Min Cheong | James Gomez | Alfred Tan | Tan Jee Say,SDP,36100,0.3364
2020,Holland-Bukit Timah,GRC,Edward Chia Bing Hui | De Souza Christopher | Sim Ann | Vivian Balakrishnan,PAP,71218,0.6636
2020,Hong Kah North,SMC,Amy Khor Lean Suan,PAP,16347,0.6099
2020,Hong Kah North,SMC,Gigene Wong,PSP,10457,0.3901
2020,Hougang,SMC,Lee Hong Chuang,PAP,9791,0.3879
2020,Hougang,SMC,Dennis Tan Lip Fong,WP,15451,0.6121
2020,Jalan Besar,GRC,Michael Fang Amin | Leong Sze Hian | Lim Tean | Nor Azlan Bin Sulaiman,PV,34261,0.3464
2020,Jalan Besar,GRC,Heng Chee How | Denise Phua Lay Peng | Josephine Teo | Wan Rizal,PAP,64631,0.6536
2020,Jurong,GRC,Huang Wei Zhong Shawn | Rahayu Binte Mahzam | Tan Wu Meng | Tharman Shanmugaratnam | Xie Yao Quan,PAP,91846,0.7461
2020,Jurong,GRC,Michelle Lee Juen | Liyana Dhamirah | Ravi Philemon | Nicholas Tang | Alec Tok,RDU,31260,0.2539
2020,Kebun Baru,SMC,Kumaran Pillai,PSP,7842,0.3708
2020,Kebun Baru,SMC,Kwek Hian Chuan,PAP,13309,0.6292
2020,MacPherson,SMC,Goh Meng Seng,PPP,7489,0.2826
2020,MacPherson,SMC,Tin Pei Ling,PAP,19009,0.7174
2020,Marine Parade,GRC,Azhar Latip | Fadli Fawzi | Nathaniel Koh | Ron Tan Jun Yen | Yee Jenn Jong,WP,55047,0.4226
2020,Marine Parade,GRC,Mohd Fahmi Aliman | Seah Kian Peng | Tan Chuan-Jin | Tan See Leng | Edwin Tong Chun Fai,PAP,75203,0.5774
2020,Marsiling-Yew Tee,GRC,Damanhuri Bin Abas | Khung Wai Yeen | Lim Boon Heng | Benjamin Pwee,SDP,40690,0.3682
2020,Marsiling-Yew Tee,GRC,Hany Soh Hui Bin | Lawrence Wong | Alex Yam Ziming | Zaqy Mohamad,PAP,69813,0.6318
2020,Marymount,SMC,Ang Yong Guan,PSP,9943,0.4496
2020,Marymount,SMC,Gan Siow Huang,PAP,12173,0.5504
2020,Mountbatten,SMC,Lim Biow Chuan,PAP,16285,0.7382
2020,Mountbatten,SMC,Sivakumaran Chellappa,PV,5775,0.2618
2020,Nee Soon,GRC,Bowyer Bradley Peter | Kalayarasu Manickam | Muhammad Taufik Bin Supan | S Nallakaruppan | Tay Chye Seng,PSP,53131,0.381
2020,Nee Soon,GRC,"Derrick Goh Soon Hee | K. Shanmugam | Muhammad Faishal Ibrahim | Ng Kok Kwang, Louis | Carrie Tan Huimin",PAP,86308,0.619
2020,Pasir Ris-Punggol,GRC,Abu Bin Mohamed | Harminder Pal Singh s/o Gurcharan Singh | Kuswadi Bin Atnawi | Lim Bak Chuan Desmond | Kelvin Ong Soon Huat,SDA,37237,0.2367
2020,Pasir Ris-Punggol,GRC,Goh Keow Wah | Lim Kay Cheow Jireh | Mohamed Nassir Ismail | Prabu Ramachandran | Vigneswari VR,PV,19147,0.1217
2020,Pasir Ris-Punggol,GRC,Janil Puthucheary | Sharael Taha | Desmond Tan | Teo Chee Hean | Yeo Wan Ling,PAP,100932,0.6416
2020,Pioneer,SMC,Cheang Peng Wah,INDP,655,0.0278
2020,Pioneer,SMC,Lim Cher Hong,PSP,8289,0.3522
2020,Pioneer,SMC,Patrick Tay Teck Guan,PAP,14593,0.62
2020,Potong Pasir,SMC,Jose Raymond,SPP,7302,0.3933
2020,Potong Pasir,SMC,Sitoh Yih Pin,PAP,11264,0.6067
2020,Punggol West,SMC,Sun Xueling,PAP,15655,0.6098
2020,Punggol West,SMC,Tan Chen Chen,WP,10017,0.3902
2020,Radin Mas,SMC,Kumar Appavoo,RP,5922,0.2599
2020,Radin Mas,SMC,Melvin Yong Yik Chye,PAP,16864,0.7401
2020,Sembawang,GRC,Lim Wee Kiak | Mariam Jaafar | Ong Ye Kung | Poh Li San | Vikram Nair,PAP,94176,0.6729
2020,Sembawang,GRC,Ng Chung Hon | Sathin s/o Ravindran | Sebastian Teo | Yadzeth Bin Hairis | Yeo Tiong Boon,NSP,45778,0.3271
2020,Sengkang,GRC,Amrin Amin | Lam Pin Min | Lye Hoong Yip Raymond | Ng Chee Meng,PAP,55319,0.4788
2020,Sengkang,GRC,Chua Kheng Wee | He Ting Ru | Jamus Jerome Lim | Raeesah Begum Binte Farid Khan,WP,60217,0.5212
2020,Tampines,GRC,Baey Yam Keng | Cheng Li Hui | Desmond Choo Pey Ching | Koh Poh Koon | Masagos Zulkifli,PAP,94668,0.6641
2020,Tampines,GRC,Choong Hon Heng | Fong Chin Leong | Mohd Ridzwan Bin Mohammad | Vincent Ng Kian Guan | Yeo Ren-Yuan,NSP,47875,0.3359
2020,Tanjong Pagar,GRC,"A’bas Bin Kasmani | Chua Teck Leong, Michael | Harish Pillay | Low Wei Ling | Soon Jun Wei, Terence",PSP,45807,0.369
2020,Tanjong Pagar,GRC,Chan Chun Sing | Eric Chua Swee Leong | Indranee Thurai Rajah | Joan Pereira | Alvin Tan Sheng Hui,PAP,78330,0.631
2020,West Coast,GRC,Ang Wei Neng | Foo Mee Har | Desmond Lee Ti-Seng | Rachel Ong Sin Yen | S Iswaran,PAP,71658,0.5168
2020,West Coast,GRC,Khoo Poh Tiong Jeffrey | Leong Mun Wai | N. Loganathan | Hazel Poa | Tan Cheng Bock,PSP,66996,0.4832
2020,Yio Chu Kang,SMC,Kayla Low,PSP,9519,0.3918
2020,Yio Chu Kang,SMC,Yip Hon Weng,PAP,14775,0.6082
2020,Yuhua,SMC,Grace Fu Hai Yien,PAP,14131,0.7054
2020,Yuhua,SMC,Robin Low,SDP,5901,0.2946
